"id","product_title","rating","total_rating","price","final_price","ram_gb","storage_gb","bought_in_last_month","brand","screen_size_in_inches","cpu_model","special_features","graphics_card","os"
172,"HP Professional 14 (2025), Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Intel Iris Xe Graphic/Windows 11 Home) Thin and Light Business Laptop/14.0"" FHD/Backlit + Fingerprint/Silver/1.4 Kg/MSO 2021","2.0","(2)","49010","49410",8,512,NULL,"HP","14","Core i5","Anti Glare Coating, Backlit Keyboard, Fingerprint Reader, HD Audio, Lightweight","Integrated","Windows 11 Home"
173,"HP Omen 16 Max, Intel Ultra 9 275HX, 12GB NVIDIA RTX 5070 (32GB DDR5,1TB SSD) 240 Hz, 3ms, IPS, WQXGA, 16''/40.6Cm, Win11, M365* Office24, Black, 2.75Kg, ah0190TX, RGB Backlit, AI Gaming Laptop","4.4","(17)","163490","279999",32,1,NULL,"HP","406","Intel Core Ultra 9","Anti Glare Coating, Backlit Keyboard","Dedicated","Windows 11 Home"
178,"DELL Intel Core i3 10th(4 GB/128 GB SSD/DOS OS) Thin and Light Business Laptop/14.0 Blue/1.4 kg/Seller Warranty","5.0","(1)","33999","39990",16,512,NULL,"Dell","14","Core i3","Anti Glare Coating, HD Audio, Lightweight, Memory Card Slot","Integrated","Windows 11 Pro"
179,"HP 15 (2025), Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/15.6"" HD Display/Ash Grey/1.5 kg/MS Office 2021","3.6","(17)","39850","38999",16,512,50,"HP","156","Core i3","Anti Glare Coating, Fingerprint Reader, HD Audio, Lightweight, Numeric Keypad","Integrated","Windows 11 Pro"
180,"Microsoft Laptop 4-15"" inches Screen, AMD R7/Windows 10 Home/8GB RAM/256 GB SSD/Platinum - (5UI-00049)","5.0","(2)","97990","145990",8,256,NULL,"Microsoft","15","Ryzen 7","1.542 Kilogram, AMD Ryzen™ Microsoft Surface® Edition processor.2, Open effortlessly with one finger and enjoy uninterrupted productivity on the PixelSense™ touchscreen thanks to whisper-quiet cooling., Stream programmes and films with immersive cinema-like sound with Dolby Atmos®7, Ultra-thin and light, invisible hinge you can open with one finger.See more","Integrated","Windows 11 Home"
181,"MSI Prestige 16 AI Studio,Intel Core Ultra 9 185H,Built-in AI,41CM UHD+ OLED Thin and Light Laptop(32GB/1TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 4060, GDDR6 8GB/Stellar Grey/1.9Kg),B1VFG-069IN","2.6","(3)","181423",NULL,32,1,NULL,"MSI","41","Core i9","Thin","Dedicated","Windows 11 Home"
182,"HP 14 245 G10, AMD Ryzen 5 7520U Quad Core - (8 GB/512 GB SSD/AMD Radeon Graphics/Windows 11) Thin and Light Business Laptop/14.0"" HD Display/Ash Grey/1.36 kg","3.8","(80)","31940",NULL,8,512,NULL,"HP","14","Ryzen 5","Anti Glare Coating, HD Audio, Lightweight","Integrated","Windows 11"
183,"Dell_Model 5420 | i5 11th Gen Processor | 16GB DDR4 RAM | 512GB SSD | 14"" FHD Display | Win 11 | A+ Condition Laptop (Refab)",NULL,NULL,"32995","32995",16,512,NULL,"Generic","14","Core i5","Anti Glare Coating","Integrated","Windows 10"
184,"HP 15 (Metal ID & Fingerprint & Backlit Laptop)-13th Gen Intel Core i5-1334U (16GB DDR4 Ram,512GB SSD) 15.6''/39.6cm,FHD,Win11, M365 Basic(1yr),Office Home24,Silver,1.59kg,Iris Xe,FHD Camera hr0008TU","4.1","(167)","63990","59990",16,512,NULL,"HP","396","Core i5","Anti Glare Coating, Backlit Keyboard, Fingerprint Reader, HD Audio, Micro-edge","Integrated","Windows 11 Home"
185,"Lenovo V15, Intel Core i7-13620H, 16GB RAM, 512GB SSD, WUXGA IPS 15.6” (39.62cm), DOS, Luna Grey, 1.61Kg, 83HF00EMIG, 250 Nits, Antiglare, 1Y Warranty, Laptop",NULL,NULL,"62999","54930",16,NULL,NULL,"Lenovo","156","Intel Core i7",NULL,"Integrated","DOS"
